Scenario,Total_Jobs,Night_Jobs,Night_Percentage,Baseline_Max_Daily,MILP_Max_Daily,Daily_Hours_Change_Pct,Baseline_Workload_Std,MILP_Workload_Std,Workload_Equity_Improvement_Pct,Rest_Violations_Eliminated
Standard Traffic,274,97,35.4014598540146,10.385959772570397,12.817320124310125,23.4100690256958,39.752161903002296,1.5038166277643557,96.21701926191143,1078
Peak Season,324,171,52.77777777777778,9.80203313636228,12.696161130032639,29.525792796334343,33.41634639413156,0.8977531386285524,97.3134311931055,1751
Disturbed Traffic,348,222,63.793103448275865,12.341746737878978,22.18830106088349,79.78250187863371,19.186594922787513,27.12160625081975,-41.357058717114995,2471
